classifier,C,alpha,kernel,max_depth,n_estimators,n_neighbors,gamma,objective,elapsed_sec
SVC,0.003754841976561229,nan,rbf,nan,nan,nan,0.8285453702983075,0.6292134831460675,925.8564071655273
SVC,6.770725782892604,nan,poly,nan,nan,nan,0.09650439995179994,0.676470588235294,931.2081451416016
SVC,3.797260160921442,nan,rbf,nan,nan,nan,0.008357021988159814,0.6086956521739131,937.458181142807
SVC,0.036861434844126253,nan,rbf,nan,nan,nan,0.04297719365333794,0.5043478260869565,944.9885182380676
Logistic,9.433959334681658,nan,NA,nan,nan,nan,nan,0.7179487179487178,959.9521920681
SVC,0.006012670622171961,nan,poly,nan,nan,nan,2.4841812243392534,0.6829268292682927,965.6045832633972
SVC,4.374193082550271,nan,poly,nan,nan,nan,0.057634163186341486,0.5909090909090909,971.7961242198944
SVC,1.9975450638285175,nan,poly,nan,nan,nan,0.0521691142337659,0.6265060240963856,978.273775100708
SVC,0.2502752253352437,nan,poly,nan,nan,nan,0.046334824612342625,0.0,984.9667301177979
SVC,3.9962654780884574,nan,rbf,nan,nan,nan,0.0022504385737806614,0.5897435897435898,991.4017660617828
SVC,0.8664608024950002,nan,poly,nan,nan,nan,0.15636688747227553,0.6575342465753424,996.7903940677643
SVC,0.019433710057584836,nan,rbf,nan,nan,nan,0.007206437983453877,0.0,1004.7416310310364
SVC,2.9342775070255374,nan,rbf,nan,nan,nan,0.019750125961279685,0.6086956521739131,1010.842581987381
XGBoost,nan,nan,NA,2,nan,nan,0.000625354779461199,0.8,1020.2460031509399
SVC,0.84822757553171,nan,poly,nan,nan,nan,0.05863172964099592,0.5,1026.8451261520386
Logistic,9.5648329940815,nan,NA,nan,nan,nan,nan,0.7179487179487178,1041.6894490718842
SVC,7.475014139649972,nan,sigmoid,nan,nan,nan,1.1251546181941432e-05,0.0,1048.789656162262
SVC,4.180406067868985,nan,sigmoid,nan,nan,nan,0.040500272900379344,0.6086956521739131,1055.0933492183685
SVC,5.32365278939556,nan,sigmoid,nan,nan,nan,0.0619225799696623,0.6153846153846154,1061.4471852779388
SVC,6.154188995168367,nan,linear,nan,nan,nan,nan,0.6153846153846154,1066.709762096405
SVC,0.7214310282830205,nan,poly,nan,nan,nan,0.20826302439602498,0.676470588235294,1072.0121331214905
SVC,1.7183950909446521,nan,sigmoid,nan,nan,nan,0.00010319030967925581,0.0,1079.2669959068298
SVC,2.651285810199454,nan,sigmoid,nan,nan,nan,0.2725255483857578,0.5684210526315789,1085.264100074768
Logistic,0.02327008025141178,nan,NA,nan,nan,nan,nan,0.7246376811594203,1099.9625599384308
SVC,9.422855887576539,nan,linear,nan,nan,nan,nan,0.6153846153846154,1105.1616470813751
SVC,1.358820398703629,nan,linear,nan,nan,nan,nan,0.6153846153846154,1113.7182252407074
SVC,0.106025179272167,nan,poly,nan,nan,nan,0.14122785517170922,0.6265060240963856,1120.2056560516357
SVC,1.3754948667647744,nan,linear,nan,nan,nan,nan,0.6153846153846154,1129.187649011612
SVC,0.055664750095399215,nan,rbf,nan,nan,nan,0.1089710974760292,0.5979381443298969,1135.553118944168
SVC,3.987875076886075,nan,sigmoid,nan,nan,nan,0.012427183977572791,0.6153846153846154,1141.5799431800842
SVC,3.613459444429224,nan,sigmoid,nan,nan,nan,0.0021879735186262103,0.5321100917431193,1147.9055500030518
SVC,1.7888960000123915,nan,poly,nan,nan,nan,0.0806387621268732,0.5909090909090909,1154.0202050209045
Logistic,0.0051618886398642596,nan,NA,nan,nan,nan,nan,0.7042253521126761,1169.0126330852509
SVC,5.957712437079237,nan,linear,nan,nan,nan,nan,0.6153846153846154,1174.4666721820831
SVC,1.1648015039223902,nan,linear,nan,nan,nan,nan,0.6153846153846154,1184.4701821804047
SVC,0.4505072998137709,nan,linear,nan,nan,nan,nan,0.6153846153846154,1191.9121379852295
SVC,0.6746708528130866,nan,linear,nan,nan,nan,nan,0.6153846153846154,1200.2241451740265
SVC,5.9367798844618855,nan,poly,nan,nan,nan,0.04981223311504369,0.5977011494252874,1206.5539062023163
SVC,0.21072473367495423,nan,linear,nan,nan,nan,nan,0.6086956521739131,1213.1791973114014
SVC,0.2415781996871604,nan,rbf,nan,nan,nan,0.045858677034739025,0.6341463414634146,1219.645770072937
SVC,0.04578594557512154,nan,poly,nan,nan,nan,9.38333059421154,0.6666666666666667,1259.7602291107178
SVC,0.7481057537662733,nan,linear,nan,nan,nan,nan,0.6153846153846154,1270.6540322303772
SVC,0.3673174988082589,nan,rbf,nan,nan,nan,0.03808611954688779,0.65,1276.8787262439728
SVC,0.005235658187232821,nan,poly,nan,nan,nan,0.6001779170931472,0.5909090909090909,1282.9659099578857
SVC,1.0627971663537827,nan,linear,nan,nan,nan,nan,0.6153846153846154,1292.9606692790985
SVC,5.047390286125505,nan,sigmoid,nan,nan,nan,0.0718529103326074,0.5544554455445545,1299.565187215805
SVC,0.0033318704611161975,nan,rbf,nan,nan,nan,1.3893075684344012,0.5897435897435898,1307.4458911418915
SVC,7.6500049549319815,nan,linear,nan,nan,nan,nan,0.6153846153846154,1313.0346322059631
Logistic,0.09469362963499178,nan,NA,nan,nan,nan,nan,0.7246376811594203,1328.6293671131134
SVC,1.240100492563423,nan,linear,nan,nan,nan,nan,0.6153846153846154,1338.6487400531769
SVC,0.07522051189323378,nan,linear,nan,nan,nan,nan,0.6086956521739131,1344.6501960754395
SVC,9.653803092057077,nan,linear,nan,nan,nan,nan,0.6153846153846154,1350.2028810977936
SVC,0.12739897503270206,nan,rbf,nan,nan,nan,0.0023566553876833234,0.37209302325581395,1358.4583280086517
SVC,6.551683198898385,nan,sigmoid,nan,nan,nan,0.008860903806208732,0.6086956521739131,1364.8472261428833
SVC,8.002106479525258,nan,sigmoid,nan,nan,nan,0.017545184184511696,0.6086956521739131,1371.6246662139893
SVC,7.59690999041843,nan,linear,nan,nan,nan,nan,0.6153846153846154,1377.0240759849548
SVC,7.0695437884495815,nan,sigmoid,nan,nan,nan,0.0015298615184152983,0.5471698113207547,1383.662827014923
SVC,0.0069542738462803205,nan,poly,nan,nan,nan,0.19375893057058707,0.0,1390.8249893188477
SVC,1.1517695913944945,nan,rbf,nan,nan,nan,0.10230670947457621,0.6865671641791045,1397.246845960617
SVC,0.7306642534584279,nan,linear,nan,nan,nan,nan,0.6153846153846154,1405.5095150470734
SVC,0.04133956574857149,nan,poly,nan,nan,nan,0.20296469526284006,0.6363636363636364,1412.1885800361633
SVC,5.879988672937769,nan,linear,nan,nan,nan,nan,0.6153846153846154,1417.6753370761871
SVC,0.23178174041837604,nan,poly,nan,nan,nan,0.08101581051646464,0.4651162790697674,1424.7406010627747
SVC,0.009454318360246027,nan,rbf,nan,nan,nan,0.29196503802944285,0.5225225225225225,1431.9473361968994
SVC,2.3160025984799035,nan,poly,nan,nan,nan,0.04765958529145278,0.6419753086419753,1438.6451041698456
SVC,1.438900673966275,nan,linear,nan,nan,nan,nan,0.6153846153846154,1446.8768210411072
